time,net_p,net_b,cpu,mem,reads,writes,bperp
1,262465,19723330,0.0,5.663303870001224,0,0,75.14651477339835
2,258294,19839872,351.4,5.663303870001224,0,0,76.8111996407195
3,300542,22632329,385.2,5.663303870001224,0,0,75.3050455510378
4,290727,22153677,378.3,5.663303870001224,0,0,76.20096172698098
5,283015,21513099,371.3,5.663303870001224,0,0,76.01398865784499
6,272542,20433619,351.4,5.663303870001224,0,0,74.97420214132134
7,329196,24532678,403.1,5.663303870001224,0,0,74.52301364536629
8,319208,23623632,393.3,5.663303870001224,0,0,74.00701736798577
9,309124,23477971,401.3,5.663303870001224,0,0,75.95001035183292
10,310314,23385265,386.3,5.663303870001224,0,0,75.36000631618296
11,290727,21979157,378.3,5.663303870001224,0,4096,75.60067348405893
12,325294,24109672,395.2,5.663303870001224,0,0,74.11655917416245
13,300679,22538715,371.3,5.663303870001224,0,0,74.95939190964451
14,290832,21317781,353.7,5.663303870001224,0,0,73.29929650107279
15,301601,22660658,385.3,5.663303870001224,0,0,75.13455857241853
16,276380,21112954,373.3,5.663303870001224,0,0,76.39103408350822
17,251292,19293184,355.3,5.663303870001224,0,24576,76.77595784983207
18,231001,18118509,350.6,5.663303870001224,0,0,78.43476435166947
19,279042,21361581,376.4,5.663303870001224,0,0,76.55328230158901
20,296479,22481393,382.3,5.663303870001224,0,0,75.82794396905008
21,275710,21977067,393.2,5.663303870001224,0,16384,79.71080845816256
22,245910,20329205,378.2,5.663303870001224,0,0,82.6692895774877
23,301507,23238842,396.6,5.663303870001224,0,0,77.07563008487365
24,315760,23985016,399.7,5.663303870001224,0,0,75.95964023308842
25,322508,24443045,410.3,5.663303870001224,0,0,75.79050752229402
26,326661,24400123,403.3,5.663303870001224,0,0,74.6955498207622
27,279578,21545968,377.5,5.663303870001224,0,0,77.06603523882423
28,278230,20949977,358.4,5.663303870001224,0,0,75.2973331416454
29,332694,24659575,401.1,5.663303870001224,0,16384,74.12088886484277
30,301317,22966852,385.2,5.663303870001224,0,0,76.22156068193962
31,294185,22768940,382.2,5.663303870001224,0,0,77.39667216207488
32,246298,18676994,341.7,5.663303870001224,0,0,75.83087966609554
33,283342,21407378,373.6,5.663303870001224,0,0,75.5531407274601
34,314586,23273552,390.4,5.663303870001224,0,0,73.98152492482183
35,293670,22302230,382.4,5.663303870001224,0,0,75.94316750093643
36,303146,22641809,376.6,5.663303870001224,0,0,74.68945326674276
37,272447,20904274,369.6,5.663303870001224,0,0,76.72785532599
38,266680,20558644,368.6,5.663303870001224,0,0,77.09106044697765
39,255143,19615274,353.4,5.663303870001224,0,0,76.87953030261461
40,281475,21320926,374.3,5.663303870001224,0,0,75.74713917754686
41,268231,20334389,360.4,5.663303870001224,0,4096,75.80924277954449
42,310319,22718921,376.3,5.663303870001224,0,0,73.21150493524405
43,292062,21776753,363.3,5.663303870001224,0,0,74.56208955632708
44,308785,23021734,385.3,5.663303870001224,0,0,74.55586897031915
45,286344,21836489,385.3,5.663303870001224,0,0,76.25963526387841
46,324582,24749336,434.0,5.663303870001224,0,0,76.24987214324885
47,298557,23272693,407.1,5.663303870001224,0,8192,77.95058565031133
48,287239,21980974,376.3,5.663303870001224,0,0,76.52503316053878
49,327656,24319027,392.2,5.663303870001224,0,0,74.22121676392314
50,151691,12617783,291.6,5.663303870001224,0,0,83.1808281308713
51,280493,21757015,385.2,5.663303870001224,0,16384,77.567051584175
52,282710,22099542,387.2,5.663303870001224,0,0,78.17035831771072
53,286314,22054091,382.2,5.663303870001224,0,0,77.02763748891077
54,289326,21816717,378.2,5.663303870001224,0,0,75.40531096410278
55,311790,23631075,396.2,5.663303870001224,0,0,75.7916386029058
56,285119,22404265,395.2,5.663303870001224,0,0,78.57864610916845
57,287951,21767629,372.3,5.663303870001224,0,0,75.59490677233279
58,300957,22481631,377.3,5.663303870001224,0,0,74.70047548320856
59,268592,20733304,372.7,5.663303870001224,0,16384,77.19255971883004
