time,net_p,net_b,cpu,mem,reads,writes,bperp
1,20196,2785224,0.0,4.871165119663616,0,4096,137.90968508615566
2,21549,2881867,227.0,4.871165119663616,0,0,133.73553297136758
3,20945,3100380,233.1,4.871165119663616,0,0,148.0248269276677
4,20902,3106374,241.0,4.871165119663616,0,0,148.6161132905942
5,20700,2645398,223.2,4.871165119663616,0,0,127.79700483091787
6,20680,2809382,233.1,4.871165119663616,0,0,135.8501934235977
7,19106,2724963,217.1,4.871165119663616,0,0,142.6234167277295
8,27905,3534503,273.9,4.871165119663616,0,73728,126.66199605805411
9,19854,2690572,226.1,4.871165119663616,0,0,135.51788052785332
10,21684,2747443,239.0,4.871165119663616,0,0,126.70369857959786
11,24179,3155507,228.0,4.871171191739645,0,0,130.50610033500143
12,23983,3630398,251.1,4.871177263815673,0,0,151.37380644623275
13,23495,2999524,231.0,4.871177263815673,0,0,127.66648223026176
14,23089,2995386,232.0,4.871177263815673,0,0,129.7321668326909
15,19878,2527697,219.1,4.871177263815673,0,0,127.16052922829259
16,25576,3450796,264.8,4.871177263815673,0,16384,134.92320925868
17,20941,2734442,223.1,4.871177263815673,0,0,130.5783868965188
18,25999,2847645,240.1,4.871177263815673,0,0,109.52902034693642
19,16076,2110622,196.4,4.871177263815673,0,0,131.2902463299328
20,27785,3339668,248.0,4.871177263815673,0,0,120.19679683282347
21,23939,2957319,233.1,4.871183335891701,0,0,123.53561134550316
22,21577,2871325,228.1,4.871183335891701,0,0,133.0734115029893
23,18787,2856472,239.0,4.871183335891701,0,0,152.04513759514558
24,23240,2827020,228.1,4.871183335891701,0,0,121.644578313253
25,18084,2531578,227.0,4.871195480043758,0,24576,139.98993585489936
26,18582,2727604,231.0,4.871195480043758,0,0,146.78742869443548
27,23024,3241273,244.9,4.871195480043758,0,0,140.77801424600418
28,22151,2814111,224.2,4.871195480043758,0,0,127.04216513927136
29,28926,3559325,264.0,4.871195480043758,0,0,123.04933278019774
30,28128,3643901,263.2,4.871195480043758,0,0,129.5471060864619
31,18792,2597510,215.3,4.871195480043758,0,4096,138.22424435930182
32,26346,3436591,251.3,4.871195480043758,0,0,130.4407120625522
33,17128,2361531,196.2,4.871195480043758,0,0,137.87546707146194
34,23805,3317216,245.0,4.871195480043758,0,0,139.3495484141987
35,22145,3171315,242.0,4.871195480043758,0,0,143.206818694965
36,21460,2994687,235.0,4.871195480043758,0,0,139.54739049394223
37,25788,3377650,248.9,4.871195480043758,0,0,130.97758647432914
38,29490,3711491,271.0,4.871195480043758,0,8192,125.85591726008816
39,15603,2024000,188.2,4.871195480043758,0,0,129.71864385054155
40,28319,3918575,275.9,4.871195480043758,0,0,138.3726473392422
41,27406,3397649,262.0,4.871195480043758,0,0,123.9746405896519
42,23238,3089825,241.1,4.871195480043758,0,0,132.96432567346588
43,21737,3233381,229.1,4.871195480043758,0,0,148.750103510144
44,23472,2857996,241.0,4.871207624195814,0,0,121.76192910702113
45,22414,3337391,245.9,4.871213696271842,0,0,148.89760863745875
46,24142,2949304,230.0,4.871213696271842,0,16384,122.16485792394997
47,28970,3517835,229.2,4.871213696271842,0,0,121.4302726958923
48,24081,2763123,211.3,4.871213696271842,0,0,114.74286782110377
49,25858,3242361,245.0,4.871213696271842,0,0,125.39102018717611
50,23461,3284012,243.1,4.871213696271842,0,0,139.97749456544904
51,22811,3057454,232.2,4.871213696271842,0,0,134.03419402919644
52,23109,3388987,248.9,4.871213696271842,0,0,146.65225669652517
53,22516,3028149,245.0,4.871213696271842,0,0,134.4887635459229
54,26389,3635091,254.9,4.871213696271842,0,0,137.75023684110803
55,24710,3063076,234.0,4.871213696271842,0,8192,123.96098745447188
56,23539,3306233,249.9,4.871225840423899,0,0,140.45766600110454
57,22036,3157680,243.0,4.871225840423899,0,0,143.2964240333999
58,23908,2988128,232.3,4.871225840423899,0,0,124.98444035469299
59,24475,2947377,232.0,4.871225840423899,0,0,120.42398365679264
