time,net_p,net_b,cpu,mem,reads,writes,bperp
1,10639,1302985,0.0,3.689782007612926,0,81920,122.47250681455024
2,14787,1518565,168.4,3.689782007612926,0,16384,102.69594914451883
3,11194,1295020,166.3,3.689782007612926,0,8192,115.68876183669823
4,12189,1254574,163.4,3.689782007612926,0,0,102.92673722208549
5,15159,1866637,180.2,3.689782007612926,0,0,123.13721221716472
6,12885,1434738,169.3,3.689782007612926,0,557056,111.34947613504075
7,14868,1792144,179.2,3.689782007612926,0,0,120.53699219800914
8,13212,1468999,175.2,3.689782007612926,0,0,111.18672419013018
9,15460,2035987,194.1,3.689782007612926,0,0,131.6938551099612
10,13457,1333906,161.3,3.689782007612926,0,0,99.12357880656907
11,11758,1408938,163.3,3.689782007612926,0,81920,119.82803197822759
12,16385,1714300,175.2,3.689782007612926,0,0,104.62618248397925
13,14244,1551975,173.2,3.689782007612926,0,0,108.95640269587194
14,12176,1340948,161.3,3.689782007612926,0,0,110.13042049934297
15,14384,1748399,186.2,3.689782007612926,0,0,121.55165461624027
16,10000,1127472,154.3,3.689782007612926,0,65536,112.7472
17,14803,2052575,196.1,3.689782007612926,0,0,138.65939336620954
18,18219,1763992,178.2,3.689782007612926,0,0,96.82155990998409
19,14414,1562688,175.4,3.689782007612926,0,0,108.41459691966143
20,12673,1406306,163.3,3.689782007612926,0,0,110.96867355795786
21,10313,1346593,173.2,3.689782007612926,0,16384,130.5723843692427
22,14965,1624132,176.4,3.689782007612926,0,0,108.52870030070164
23,13812,1664743,176.2,3.689782007612926,0,0,120.52874312192297
24,13476,1748027,185.2,3.689782007612926,0,4096,129.71408429801127
25,12438,1323890,164.3,3.689782007612926,0,0,106.4391381251005
26,14632,1542582,179.2,3.689782007612926,0,0,105.42523236741388
27,10560,1281632,164.3,3.689782007612926,0,0,121.36666666666666
28,15267,2007025,201.1,3.689782007612926,0,0,131.46164930896705
29,9784,1189682,163.3,3.689782007612926,0,0,121.59464431725266
30,17425,1791126,181.5,3.689782007612926,0,0,102.79058823529412
31,14966,1853736,184.3,3.689782007612926,0,0,123.86315648803955
32,10501,1197497,161.4,3.689782007612926,0,16384,114.0364727168841
33,13138,1635878,183.3,3.689782007612926,0,8192,124.51499467194398
34,12334,1218952,157.3,3.689782007612926,0,0,98.82860385925085
35,16321,1772430,178.2,3.689782007612926,0,0,108.59812511488266
36,14272,1560171,169.2,3.689782007612926,0,319488,109.31691423766816
37,12287,1412446,172.4,3.689782007612926,0,0,114.95450476112966
38,11029,1543984,178.2,3.689782007612926,0,0,139.9931090760722
39,14255,1485179,167.4,3.689782007612926,0,0,104.18653104173974
40,11533,1529710,178.2,3.689782007612926,0,0,132.6376484869505
41,13664,1503097,177.4,3.689782007612926,0,0,110.00417154566745
42,10359,1266212,163.3,3.689782007612926,0,8192,122.23303407664832
43,11825,1484456,171.2,3.689782007612926,0,0,125.5353911205074
44,13792,1505880,173.3,3.689782007612926,0,0,109.18503480278422
45,11055,1273010,169.3,3.689684854396474,0,0,115.1524197195839
46,18425,2071010,193.2,3.689684854396474,0,0,112.402170963365
47,11619,1363651,165.2,3.689684854396474,0,4096,117.36388673724073
48,11997,1249591,160.3,3.689684854396474,0,0,104.1586229890806
49,14316,1752432,184.2,3.689684854396474,0,0,122.41072925398156
50,10421,1355532,173.2,3.689684854396474,0,0,130.07695998464638
51,12415,1432963,166.3,3.689684854396474,0,0,115.42190898107128
52,16937,2094599,196.1,3.689684854396474,0,0,123.67001239889001
53,12712,1398543,172.2,3.689684854396474,0,0,110.01754247954689
54,13379,1429145,169.3,3.689684854396474,0,4096,106.8200164436804
55,16038,1755109,186.2,3.689684854396474,0,0,109.43440578625764
56,13939,1637281,180.2,3.689684854396474,0,0,117.46043475141688
57,12263,1476216,178.2,3.689684854396474,0,0,120.37967870830956
58,11527,1446187,169.3,3.689684854396474,0,0,125.46083109221827
59,24817,2392300,191.2,3.689684854396474,0,0,96.39763065640489
